epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,125348,1.18039,0.70694,1.26021,0.95939,0.9462,0.97405,0.67176,1.17393,0.54607,1.26155,0.007921,0.007921,0.007921
44,128258,1.16897,0.70479,1.24959,0.96131,0.94433,0.97026,0.66409,1.19494,0.5466,1.2778,0.0078715,0.0078715,0.0078715
45,131162,1.17421,0.70069,1.26092,0.96384,0.94501,0.97567,0.67419,1.16287,0.53465,1.25568,0.007822,0.007822,0.007822
46,134081,1.16815,0.70002,1.24558,0.95835,0.95248,0.97428,0.67357,1.17648,0.52968,1.27553,0.0077725,0.0077725,0.0077725
47,136998,1.16829,0.6946,1.247,0.95967,0.95321,0.9729,0.67595,1.17978,0.52079,1.26884,0.007723,0.007723,0.007723
48,139915,1.1647,0.70272,1.25192,0.95767,0.93679,0.97057,0.67023,1.18245,0.53611,1.28262,0.0076735,0.0076735,0.0076735
49,142833,1.14905,0.67694,1.2434,0.95763,0.95141,0.9769,0.6743,1.16943,0.52701,1.25985,0.007624,0.007624,0.007624
50,145755,1.13912,0.6768,1.23398,0.95691,0.94983,0.9749,0.67859,1.1596,0.51338,1.25435,0.0075745,0.0075745,0.0075745
51,148680,1.16004,0.68277,1.24557,0.95638,0.95257,0.97513,0.67428,1.17448,0.53348,1.2571,0.007525,0.007525,0.007525
52,151600,1.15597,0.68307,1.23822,0.96346,0.95519,0.97552,0.67851,1.15658,0.5133,1.25151,0.0074755,0.0074755,0.0074755
53,154521,1.11954,0.66828,1.2231,0.95255,0.9484,0.9737,0.67783,1.14678,0.5209,1.24015,0.007426,0.007426,0.007426
54,157443,1.13743,0.66568,1.22974,0.95358,0.94838,0.97129,0.68013,1.15861,0.52063,1.23543,0.0073765,0.0073765,0.0073765
